id,ra,dec,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,votes,p_el_debiased,p_cs_debiased,spiral,elliptical,uncertain
588848899361341000,146.94999,-0.59220225,0.064777,0,0,0,0,0,3.768534,0.349999,2.060232,0.406615,9.767632,56,0.164,0.745,1,0,0
587725074995609000,147.32951,0.0289027,0.048096,17.59556,16.019156,15.319424,14.944425,14.666128,6.055902,0.613006,3.575483,0.519457,10.642694,25,0,1,1,0,0
587725073921409000,146.31179,-0.81320921,0.205911,20.913139,19.012896,17.684309,17.187099,16.866304,1.166274,0.745415,0.830849,0.821845,11.265907,24,0.73900002,0.052,0,0,1
588848899361210000,146.74174,-0.52469154,0.131516,19.389297,18.20183,17.492212,17.073881,16.899815,5.368439,0.64469,2.511333,0.695197,10.57516,39,0.31200001,0.62400001,0,0,1
588848899898015000,146.46892,-0.09284351,0.062509,17.436966,15.313985,14.333739,13.920478,13.618734,10.59594,0.631542,5.563209,0.620282,11.518373,35,1,0,0,1,0
587725074995150000,146.2278,0.04356582,0.091389,20.129896,18.183727,17.160664,16.749296,16.408146,0.933025,0.365958,0.941778,0.403571,10.697097,28,0.67900002,0.214,0,0,1
588848899897491000,145.39609,-0.09123094,0.089931,19.444744,17.803787,16.951828,16.509365,16.191961,3.363955,0.571397,1.94021,0.626922,10.683678,37,0.228,0.77200001,1,0,0
588848899360555000,145.23331,-0.43567204,0.221143,20.253622,18.807877,17.45768,16.987329,16.592653,2.692734,0.777646,1.483396,0.778499,11.436357,33,0.90700001,0.033,0,0,1
588848900971299000,145.44311,0.82657169,0.051296,19.139469,17.244236,16.319923,15.842777,15.486821,3.303546,0.265656,2.369305,0.301659,10.578798,25,0.227,0.773,1,0,0
588848900434493000,145.59403,0.30938427,0.045764,18.608852,16.854429,16.020205,15.569489,15.240692,3.589786,0.563863,2.077128,0.58536,10.506879,35,0.56199998,0.18099999,0,0,1
587725075531628000,145.43387,0.56413952,0.146137,19.258743,17.563683,16.517382,16.057993,15.734626,6.169749,0.619386,2.951704,0.627191,11.348516,27,0.55599999,0.37,0,0,1
588848900434690000,146.06202,0.30231485,0.122215,20.00919,18.465652,17.540997,17.067074,16.747757,1.338437,0.618636,0.957425,0.633747,10.766612,31,0.68099999,0.27399999,0,0,1
587725074995085000,146.06576,0.18365913,0.126911,18.279453,17.871876,17.335529,16.899471,16.806162,0.838995,0.789312,0.749503,0.742448,10.770537,33,0.67799997,0.2,0,0,1
587725074995085000,146.18532,0.1193105,0.122742,21.307768,19.081631,18.008244,17.56423,17.331718,0.592867,0.956308,0.641395,0.945019,10.803704,23,0.472,0.242,0,0,1
